reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
8f7b04fe-e0a1-46b4-8aa1-15422ca35751,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,1,0,6.8.4,2025-04-11 09:33:19,,,6.8.4
7d0debc4-b98d-44c6-a4fc-685f2aa72682,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat seru permainan ini sangat cocok kalo lagi gabut,5,0,6.8.4,2025-04-11 09:30:36,,,6.8.4
61629a65-9781-41b9-93d8-00027fd13160,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya seru kalo lagi gabut,5,0,6.8.2,2025-04-11 09:30:12,,,6.8.2
3007e551-4eed-44b4-a2b6-d78447ff1aeb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus sekalii,5,0,6.8.4,2025-04-11 09:29:03,,,6.8.4
93850e90-5549-4748-a020-8f833c3d6474,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saran aku kasih efek rainbow aja kaya yng di iphone biar makin asik mainya, tapi ini juga udah asik 🥰 klo update tambahin efek lagi trimakasih",4,0,6.8.4,2025-04-11 09:28:53,,,6.8.4
894af0bf-d701-438b-aefd-c53a050d6853,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Seru banget apalagi adek jadi suka game ini dan kalo GK punya Kouta tinggal mainin ini makasih block blast🙏,5,0,,2025-04-11 09:27:39,,,
b0d0fd60-636f-4712-afb2-2f3050747df7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,4,0,6.8.4,2025-04-11 09:26:14,,,6.8.4
0fdfc3a8-7255-4c90-92c3-c7201a6e6830,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gabisa bug najus,2,0,,2025-04-11 09:23:32,,,
06050779-a2c6-47d6-9569-9bdd41ac3419,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game in burik,5,0,6.8.4,2025-04-11 09:23:19,,,6.8.4
c0cd600f-9796-4bc0-baca-d99d1cdbd5b0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya bagus banget,5,0,6.8.4,2025-04-11 09:21:59,,,6.8.4
71d00fa3-1a1f-4461-aebe-ac540c5b61f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gamenya mantapp👍👍👍👍👍,5,0,,2025-04-11 09:20:41,,,
8382005e-87ee-49d8-bd88-a2f1fecd1799,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus sekali,5,0,6.8.4,2025-04-11 09:20:06,,,6.8.4
0370ae41-990f-414c-b2f9-6d2f9054ffe2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game yang seru dan tidak bikin bosan😀,5,0,6.8.4,2025-04-11 09:19:32,,,6.8.4
e957ce78-71cc-4043-bea2-d7975d3bdc90,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,permainan yang sangat enak dan bikin kecanduan tapi selalu kalau menyimpan blog ke tempat asalnya suka nggak kesimpen lagi tolong dong yang bikin brownies nya ya untuk yang bikin blog basenya ya tolong banget enak lagi dan bikin juga yang lainnya gitu karena kalau ada yang lainnya nambah enak mainnya jadi ada macam-macam gitu kalau ada 3 doang mah nggak rame gitu tolong tolong banget tolong banget tolong ya tolong untuk pembikin blok bless sangat enak banget bikin kecanduan tapi hanya kesalahan,3,0,6.8.4,2025-04-11 09:19:21,,,6.8.4
ef116b3e-f258-4c4b-bac6-2d3fdcb75092,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,game nya menyenangkan,5,0,6.8.4,2025-04-11 09:18:44,,,6.8.4
